pickup_hour,trips,avg_fare,avg_distance
18,215889,26.432961521891656,3.958433176308179
17,209493,28.315582048085744,4.484603351901928
15,196424,27.145643607703818,3.6729168533376386
16,195977,29.228488904308268,3.4656766355236086
19,192801,27.10859362762457,3.796988501097109
14,191604,27.719905168992128,3.55539028412771
13,178739,26.163804877500656,3.2287366495280745
12,169858,25.364562222559748,3.1295295482108956
20,165862,26.659937538434665,3.455877597038516
21,161548,27.2526991358598,3.87706322579051
11,154157,24.897021348363538,3.210792309139391
22,147415,28.20178122986077,3.8306406403690167
10,143666,25.292709061293188,3.0880256288892367
9,131111,25.289736406554873,3.1171438704608887
8,116865,25.03803200273709,5.5175480254995675
23,114528,29.56074182732585,4.22987260757197
7,86877,26.679382920681434,5.247227344406474
0,84969,28.44306770704572,4.020592804434578
1,59799,26.061920433452013,3.485865315473491
6,43860,30.231226174191384,5.418199726402176
2,42040,24.657573025689985,3.196068981921983
3,27438,25.73007179823605,3.7441898097528963
5,18011,36.063495086336246,15.304527233357417
4,17835,30.935113540790386,4.772163723016516
